gene_symbol,14-3-3,actin,autophagosome,centrosome,endo_lysosome,endosome,ER,ER_Golgi,Golgi,HSP70 chaperone,HSP90 chaperone,lysosome,mitochondria,p-body,peroxisome,plasma membrane,proteasome,recycling endosome,ribosome,stress granule
ABI1,7385,8215,2523,6921,5603,7317,3550.5,1710,2414.5,1064,696,2176.5,4185,3624.5,5954,7998,784,4906.5,2296,575
ABI2,8014,8192,3971.5,7037,3097,6383.5,2243,196,729.5,2605.5,963,1490,1126,7038,3400,7979,654,1264,4258,3451
ABITRAM,7704,2970,5066,549,3441,7430,5918,1497.5,5102.5,3528,5093,5119,5474,3390.5,4398,5522,5277,5252.5,4130,5121.5
ABL1,8166,4825,714.5,7274,3580,6996.5,1431,806,5686,6916,4940,3234,3586,4346,7016,8141,3302,2406.5,3580,3741
ABL2,552,4408,2454.5,2388,2360,5220.5,4329.5,737,2309,7876,5490,3018,2858,3185,3018,7492,3753,3825.5,2292,1113
ABLIM1,8101,4645,3302,7073,604,6581,1856,2346,7040.5,3232,4987,4092.5,913,5293.5,7361,8136,2899,5401,888,1080
ABR,4763,4121,4571.5,1009,5337,3288.5,5812,1531,718,5928,2673,752.5,6130,8065,6153,7390,7140,2692,3631,4323
ABRACL,6130,6920,6807,180,2462,3376,4402,6803,2069.5,3965,6953,7205,6997,5960.5,1293,5426.5,5069,5543,1042,3703
ABRAXAS1,649,818,8,4051,6955,1401.5,5170.5,4086.5,821.5,411,106,870,2977,7872,1848,4379,7769,3315,7038,3296
ABRAXAS2,6939,6541,1199,651,5805,4514,5285.5,2241.5,2625,5124,4906,1330,2219,5834.5,2247,7193.5,6072,5357,1267,2463.5
ABT1,3197,1568,167,7447,952,4982.5,1837,5420,1090,824,2007,666,5168,2917,1908,69,7125,68,7298,6260
ABTB2,5234,4882,2148,2571,5033,3033.5,4399,1127.5,6049.5,2889,3335,2543,5144,6466,7504,3567,6162,2096,3119,2385.5
ABTB3,5150,4639,2219.5,6024,4538,2572.5,5956,5742,5359,4976,6906,3719,2407,3406.5,628,4963,1627,5871.5,3118,2299
ACAA1,6640,52,7289,643,2603,4340.5,7690,7891,415,864,6633,7489,6636,2912,8239,1346,1487,6835,4852,6300
ACAA2,3764,442,7292,3220,390,330,7742,4568,1611,4295,7699,5083,7569,226,7871,826,2985,7659.5,3569,5829
ACACA,648,2716,5645,3293,4400,709,2880,7432,6336,7188,3799,4730.5,1899,2754,7006,5675.5,6600,6423.5,397,391
ACAD10,4584,4241,6965.5,1691,1470,2777,4319,3875.5,2777,539,8000,3319,8016,2800,631,4107,4752,5438,2674,4759.5
ACAD11,4121,3253,7367,939,5519,1970,7599,7100.5,2096,4900,7074,7401,5885,688,8210,3535,3277,7641.5,3925,6856
ACAD8,2411,2801,7731,4355,827,523,7173,1396,566.5,3995,8197,5162,8226,3260.5,8138,906,3366,7888.5,6009,6021
ACAD9,4814,6851,7360,3195,1238,969,7776,3450,2682.5,2066,7402,4313,7678,793,7739,2195,1156,7795,4552,5140
ACADM,4062.5,3768,6184,2139,2330,1857,6263,4797,1193,3848,7619.5,5310,7282.5,2336.5,4872,3521.5,1875.5,4658,4569,5077.5
ACADS,4324,7122,8212,1023,3233,1510,7294,6035.5,4933.5,1678,7958,5399.5,8058,973,6456,2345.5,4397,7805,4513,3130.5
ACADSB,6365,2107,7510,1393,1432,713,8012,3369.5,1757,1353,7714,3194.5,7869,598,7968,1368,755,7432.5,4563,4922
ACADVL,1383,724,7718,1216,1560,394,8167,1865.5,2036,2048,7977,3792.5,8059,5430.5,8140,859,3412,7537.5,3616,7035
ACAP2,874,3138,2193,3698,7063,3022,2597.5,3651,6069,3500,5481,528,6414,5292,575,7402,7549,4038,2059,2342.5
ACAT1,998,865,7637,2766,67,442,7745,5323.5,2244,5770,7786,3688.5,8040,54,7843,1041,2861,8013,4456,6460.5
ACAT2,3288,5175,3323,6357,7013,4572,4439.5,2033,6612,5137,3180,7354,928,704,5243,7724,1813,1553.5,788,1281
ACBD3,574,2317,5562,6927,3070,3912,5250,7954,8143,7034,3359,6905.5,1402,4467,6167,4220,968,6950.5,487,489.5
ACBD5,4419,1886,6488.5,1629,5032,3027.5,8063,7064,2946,2704,5435,7282,7205,446,8167,1856,1147,5594.5,6107,6854.5
ACBD6,5562,7647,5988,443,989,3862.5,5320,1296.5,2996.5,5969,3428,6471,6176,7481.5,6592,2287.5,3725,1456,6710,5356
ACBD7,54,6872,1849.5,4162,4446,4531.5,5742,3739,1282,2640,4573,5061.5,5506,6450,6032,4762.5,7468,2639.5,4031,3536
ACD,2668,3655,6405,876,1837,7001,5647,4486,1496,8029,4552,6890,4312,3685.5,4007,5444,2807,2590.5,328,4658
ACIN1,1,2623,5232,5009,3938,2868.5,4272,1275,5006,5994,1512,1252.5,2117,2655,5700,181,108,4717.5,5880,6338
ACLY,468,2139,2204,7777,5229,2822.5,1812.5,2550,3157,6895,2703,7435,3590,6270,6940,7155,545,6588,335,777
ACO1,7055,7254,4162,2608,6087,5465,5549,1663,7267,4684,4703,2352.5,3469,7259,6538,5883,3870,898,5594,5879
ACO2,1891.5,3490.5,7685,2469,758,1052,7404,4296,2299,5261,7998,5014,7823,192,8064,1296,2030.5,6637.5,4958,6995
ACOT13,4865,972,7913,208,2125,807.5,7606,1533.5,665.5,3270,7570,6364,7444,536,7715,1821,1483,7532.5,4241,6198
ACOT2,318,2258,7454,1868,1753,768.5,7833,3272.5,3699,4755,7942,3495,7854,1456,8121,562,2144,7966,4636,5552.5
